Consumer Brand,UML Id,Name,Country,Province,District,Latitude,Longitude,Parent Company,Parent Group,RSPO
J&J,PO1000006240,Sungai Lengi,Indonesia,Sumatera Selatan,Muara Enim,-3.54847,103.84418,Perkebunan Nusantara Vii,Perkebunan Nusantara,Not RSPO Certified
J&J,PO1000006241,Ulu Kanchong,Malaysia,Negeri Sembilan,Seremban,2.582643,101.997936,Gan Teng Siew Realty Sdn Bhd,Gan Teng Siew Realty Sdn Bhd,Not RSPO Certified
J&J,PO1000006242,Bell Sri Lingga,Malaysia,Melaka,Alor Gajah,2.377635,101.985317,Bell Sri Lingga Sdn Bhd,Bell Group,Not RSPO Certified
J&J,PO1000006244,Kintap,Indonesia,Kalimantan Selatan,Tanah Laut,-3.8104444,115.1729444,Pola Kahuripan Inti Sawit,Matahari Kahuripan Indonesia,Not RSPO Certified
J&J,PO1000006246,Kintap Jaya Wattindo,Indonesia,Kalimantan Selatan,Tanah Laut,-3.898528,115.205067,Kintap Jaya Wattindo,Ja Wattie (Jaw),Not RSPO Certified
J&J,PO1000006247,Aek Nopan,Indonesia,Sumatera Utara,Labuhanbatu Utara,2.567509,99.578451,Kencana Inti Perkasa,Kencana Persada Nusantara,Not RSPO Certified
J&J,PO1000006249,Jorong Factory,Indonesia,Kalimantan Selatan,Tanah Laut,-3.943611,114.953333,Citraputra Kebunasri,Citraputra Kebunasri,Not RSPO Certified
J&J,PO1000006257,Nubika Jaya,Indonesia,Sumatera Utara,Labuhanbatu Selatan,1.948333,100.101136,Nubika Jaya,Permata Hijau Sawit,Not RSPO Certified
J&J,PO1000006259,Meridan Sejati Surya Plantation Bangsal Aceh,Indonesia,Riau,Dumai,1.7235,101.3789444,Meridan Sejati Surya Plantation,First Resources,Not RSPO Certified
J&J,PO1000006264,Hapesong,Indonesia,Sumatera Utara,Tapanuli Selatan,1.4519833,99.06846667,Perkebunan Nusantara Iii,Perkebunan Nusantara,Not RSPO Certified
J&J,PO1000006266,Yudha Wahana Abadi,Indonesia,Kalimantan Timur,Berau,1.44075,117.2127,Yudha Wahana Abadi,Triputra Agro Persada,Not RSPO Certified
J&J,PO1000006268,Tambusai,Indonesia,Riau,Rokan Hulu,1.157186,100.508333,Panca Surya Agrindo,First Resources,Not RSPO Certified
J&J,PO1000006269,Unit Pabrik Hutalombang,Indonesia,Sumatera Utara,Padang Lawas,1.139533,99.76809,Victorindo Alam Lestari,Permata Hijau Sawit,Not RSPO Certified
J&J,PO1000006294,Kalirejo Lestari,Indonesia,Lampung,Lampung Tengah,-5.228708,104.9482111,Kalirejo Lestari,Sutomo/Sinar Jaya Agro Investama,Not RSPO Certified
J&J,PO1000006295,Anak Tuha Sawit Mandiri,Indonesia,Lampung,Lampung Tengah,-5.095458,105.1868194,Anaktuha Sawit Mandiri,Sutomo/Sinar Jaya Agro Investama,Not RSPO Certified
J&J,PO1000006301,Sinar Jaya Inti Mulya,Indonesia,Lampung,Metro,-5.0665,105.302,Sinar Jaya Inti Mulya,Sutomo/Sinar Jaya Agro Investama,Not RSPO Certified
J&J,PO1000006304,Mukah Kilang Kelapa Sawit,Malaysia,Sarawak,Mukah,2.906111,112.308611,Mukah Kilang Kelapa Sawit Sdn Bhd,Mukah Kilang Kelapa Sawit Sdn Bhd,Not RSPO Certified
J&J,PO1000006310,Mega Hijau Lestari,Indonesia,Kalimantan Timur,Penajam Paser Utara,-1.24075,116.645,Megah Hijau Lestari,Sartorius Investment,Not RSPO Certified
J&J,PO1000006313,Procesadora De Aceite Oro Rojo Ltda,Colombia,Santander,Sabana de Torres,7.376089,-73.568536,Procesadora De Aceite Oro Rojo Ltda,Indupalma,Not RSPO Certified
