umlid,treeloss_sum,land_area,forest_area,treeloss_2001,treeloss_2002,treeloss_2003,treeloss_2004,treeloss_2005,treeloss_2006,treeloss_2007,treeloss_2008,treeloss_2009,treeloss_2010,treeloss_2011,treeloss_2012,treeloss_2013,treeloss_2014,treeloss_2015,treeloss_2016,treeloss_2017,treeloss_2018,treeloss_2019,treeloss_sum_proportion_of_land,treeloss_sum_proportion_of_forest,remaining_proportion_of_forest
PO1000004555,49752.54035294118,179402.5588235294,172423.19082352932,1255.5705882352938,785.5298823529412,1150.6775294117647,7208.671764705881,3767.6594117647055,4450.565647058824,1769.388705882353,1560.629294117647,1115.1907058823529,819.168,1415.224941176471,2938.7135294117647,2430.900352941176,3559.4110588235303,4080.3236470588236,1889.6219999999998,2483.6047058823533,3636.5929411764705,3435.095647058823,0.27732347118794787,0.2885490061708788,0.7114509938291211
PO1000004556,25617.55905882354,119927.80094117644,107860.3376470588,952.4632941176473,745.570588235294,469.6023529411765,1654.2405882352941,1002.0155294117648,2407.52894117647,574.6574117647059,1846.0337647058818,734.4144705882353,1423.641176470588,809.1074117647057,1981.1841176470598,707.3908235294117,1694.1031764705879,1403.4945882352943,1997.8538823529411,1610.0590588235298,2376.948,1227.2498823529415,0.2136081780686426,0.23750675751312275,0.7624932424868772
PO1000004557,603.1514117647071,3079.4710588235293,2040.892588235297,16.14070588235294,13.68,6.601411764705881,5.04,0.8999999999999999,6.118941176470588,14.066470588235296,134.19,134.47341176470587,22.681764705882355,0.72,3.1358823529411772,2.61,59.36294117647058,17.024117647058826,48.86117647058822,21.39494117647059,81.79305882352942,14.356588235294115,0.19586201663968,0.29553314821248644,0.7044668517875136
PO1000004558,1333.1054117647059,5637.961058823532,4079.7607058823532,41.90858823529411,7.92,6.435882352941175,17.189999999999998,104.65905882352942,96.91976470588236,37.506,57.73729411764707,122.09470588235295,57.44717647058823,14.399999999999999,43.29,174.5350588235294,120.47435294117643,71.94529411764705,93.03070588235292,78.05964705882354,149.00294117647059,38.54894117647059,0.23645168844832068,0.32676068717525125,0.6732393128247487
PO1000004559,1384.2374117647057,13679.627647058831,4397.313882352937,21.576,26.37141176470588,14.85,10.916470588235294,58.32,49.671882352941175,79.79435294117647,342.47435294117645,300.4457647058823,100.95811764705884,24.119999999999997,26.099999999999998,11.791764705882354,35.63964705882353,56.145882352941186,46.255764705882356,30.729882352941175,125.39788235294118,22.678235294117645,0.10118969956483587,0.31479158613622116,0.6852084138637788
PO1000004560,1275.8661176470614,1593.657529411766,1520.4451764705896,0.0,0.0,0.18,2.637882352941176,2.479764705882353,23.050941176470587,9.093529411764706,31.98917647058824,343.7456470588235,235.70576470588242,269.5185882352941,160.29882352941172,25.1484705882353,24.096705882352943,51.737647058823526,52.30517647058823,26.03823529411765,5.595882352941176,12.243882352941178,0.8005898972020642,0.8391398370632016,0.1608601629367984
PO1000004561,17219.65623529412,59857.24199999999,46952.40176470591,344.62905882352936,504.72388235294113,507.71400000000006,992.1137647058824,1131.2929411764703,1898.6392941176468,1178.7487058823529,712.7721176470588,2043.7327058823532,525.0483529411765,514.2289411764706,1546.4329411764706,1299.524470588235,632.118705882353,531.6314117647058,778.7262352941177,951.1842352941176,592.0228235294118,534.3716470588236,0.2876787446253224,0.3667470797678794,0.6332529202321207
PO1000004562,3426.1669411764656,16437.11117647061,12783.170470588275,46.14776470588235,40.66623529411765,21.06,59.170235294117646,126.68752941176469,190.6161176470589,156.63388235294119,178.37541176470583,505.21305882352937,179.82882352941178,46.12447058823529,74.96364705882353,37.329882352941176,303.96600000000007,70.97188235294117,165.8054117647059,142.25470588235294,581.7162352941176,498.63564705882345,0.2084409422308315,0.268021689068408,0.731978310931592
PO1000004563,1515.9942352941175,12346.723764705886,6009.293647058824,15.137294117647057,10.26,10.114235294117647,19.90870588235294,55.35741176470587,27.419647058823525,48.2435294117647,67.73329411764706,108.24317647058824,53.29835294117648,45.456352941176476,52.07682352941176,22.595294117647057,45.79129411764706,118.50035294117643,174.54776470588234,137.72082352941177,373.23423529411764,130.3556470588235,0.12278514237337279,0.25227494682941687,0.7477250531705831
PO1000004565,17467.762588235302,120600.43623529411,116950.461882353,481.36658823529416,188.93258823529408,51.21,170.7430588235294,257.9495294117647,423.8297647058823,775.8412941176471,627.7016470588235,1872.7948235294116,657.515294117647,1523.4624705882352,1620.4471764705872,1274.854588235294,1051.3701176470588,865.2345882352942,1587.678,1680.609529411765,1437.005294117647,919.2162352941176,0.14483996188998283,0.1493603557188778,0.8506396442811222
PO1000004567,16046.761411764706,113692.8045882353,110910.05152941176,740.1098823529412,258.73411764705884,261.37905882352936,315.8396470588235,219.77047058823524,346.3588235294117,1901.0385882352941,555.3165882352941,861.4418823529412,1081.5769411764707,993.1443529411764,1300.5158823529412,2093.9347058823523,1226.0562352941176,535.6785882352941,1132.8045882352942,629.4582352941177,913.6796470588235,679.9231764705883,0.14114139826070568,0.14468266122398593,0.855317338776014
PO1000004568,1107.6338823529413,9182.941764705884,7350.126705882356,46.44317647058823,20.426823529411763,32.98305882352941,28.72552941176471,23.65941176470588,74.66929411764706,36.95576470588235,59.25917647058823,80.028,44.124352941176475,32.04,81.01411764705882,62.226000000000006,107.88352941176471,54.80294117647059,102.79799999999996,59.15364705882352,134.47023529411763,25.970823529411764,0.12061863297555359,0.1506958895642567,0.8493041104357433
PO1000004570,5785.2388235294075,22164.71576470589,14989.296705882363,76.13223529411763,66.3730588235294,10.982470588235294,64.74458823529413,36.261529411764705,428.2182352941179,541.2959999999999,433.10082352941174,975.6974117647062,477.36917647058823,154.8645882352941,153.2124705882353,387.07588235294116,794.2132941176473,178.5349411764706,172.91541176470588,173.94882352941175,553.8808235294117,106.41705882352939,0.26101118935806816,0.3859579896940103,0.6140420103059897
PO1000004571,27887.983764705878,84597.61835294115,72945.31552941173,387.57952941176467,166.70541176470587,165.15,395.02447058823526,966.9370588235295,715.8483529411765,1121.8655294117646,1994.0791764705882,3050.6378823529417,1282.1830588235293,2743.732941176471,2574.6734117647056,2466.1312941176466,3210.0790588235295,1253.1261176470587,1744.3281176470591,1991.402117647059,998.136,660.3642352941176,0.32965447854994273,0.3823135668453086,0.6176864331546914
PO1000004572,994.9097647058821,4149.213176470585,2701.5314117647085,28.12552941176471,10.309764705882353,45.72,45.405529411764704,35.38976470588235,90.67164705882352,157.36199999999997,16.270588235294117,70.74776470588235,88.87623529411765,2.61,21.472235294117645,125.66894117647058,55.8,37.07823529411765,83.70741176470588,42.84423529411765,29.212588235294113,7.637294117647059,0.2397827545588234,0.36827621562096957,0.6317237843790304
PO1000004573,3944.7141176470573,25024.694823529408,11940.217764705874,87.13482352941176,178.8970588235294,90.36,256.28364705882353,129.40023529411764,166.92282352941177,82.7675294117647,191.05588235294118,181.656,245.95023529411765,491.3520000000001,435.4729411764705,283.1265882352941,282.2410588235294,122.13,151.3750588235294,223.2705882352941,237.71894117647062,107.59870588235297,0.1576328560833457,0.33037204139670295,0.669627958603297
PO1000004575,27691.46400000001,174315.2131764706,165502.38705882354,733.0591764705882,882.6921176470587,295.902,2008.9062352941173,895.5568235294118,2018.7910588235295,312.7655294117647,1921.3055294117648,536.9583529411765,659.0523529411764,1199.246470588235,2584.215529411765,1469.2902352941176,1668.5664705882352,2357.9163529411762,1694.1688235294116,2438.185058823529,2264.120470588235,1750.7654117647055,0.1588585614266848,0.16731761089438424,0.8326823891056158
PO1000004576,3073.796823529412,10859.104588235294,9993.004235294115,13.224352941176468,7.1555294117647055,5.984470588235294,35.03470588235294,24.54105882352941,22.59,50.160000000000004,22.924235294117647,42.44858823529411,27.258,122.52811764705882,216.17964705882352,186.6282352941176,485.26658823529414,570.9363529411766,313.6507058823531,264.2287058823529,330.3543529411765,332.70317647058823,0.2830617201034743,0.30759486848540735,0.6924051315145927
PO1000004579,419.656588235294,39432.468352941214,39324.25800000004,18.69070588235294,19.439999999999998,14.700000000000001,7.694117647058823,2.8168235294117645,11.7,16.528235294117646,24.630352941176472,54.4570588235294,19.529999999999998,22.23,16.91435294117647,6.56964705882353,17.356588235294115,12.058588235294119,32.01352941176471,72.39917647058824,20.41376470588235,29.51364705882353,0.010642412351140386,0.010671697562234832,0.9893283024377652
PO1000004582,51029.48047058824,455570.22741176473,399834.9172941176,924.4298823529411,872.5535294117647,88.67611764705882,778.3372941176469,889.4407058823529,1535.834117647059,981.456,1065.9377647058825,2191.171058823529,1796.0848235294113,1858.9729411764704,2226.381176470588,2285.647411764706,6431.642823529412,4231.773176470588,6946.361647058824,5758.1767058823525,5976.378,4190.225294117647,0.11201232521383693,0.1276263734441459,0.8723736265558542
PO1000004583,48691.10576470588,288019.82117647043,216927.24070588237,596.1091764705882,326.49670588235296,75.24,616.2691764705881,594.8001176470588,1245.8181176470587,890.6075294117647,1677.2558823529414,2611.0203529411765,2388.1761176470586,2162.900823529412,2195.0922352941175,1892.957294117647,6326.880352941176,4317.255529411765,6595.93694117647,5322.819176470589,5396.485411764706,3458.9848235294116,0.1690547045193557,0.22445823588713323,0.7755417641128668
PO1000004655,12305.768823529412,16456.700823529412,14835.651176470587,58.94717647058823,264.29788235294114,8.367529411764705,253.45376470588232,446.2104705882352,4300.4749411764715,1838.6325882352944,764.995411764706,1394.5969411764706,425.94635294117654,448.2769411764706,340.00729411764706,693.6441176470588,900.3218823529412,49.18447058823529,32.558470588235295,10.08,37.614,38.15858823529412,0.7477664542539965,0.8294727799374536,0.1705272200625464
PO1000004656,9347.837647058821,17079.071294117646,11118.589411764702,195.23258823529414,308.93894117647056,110.46670588235293,582.4496470588235,1610.9618823529408,1501.2374117647057,391.4784705882352,1421.3858823529413,768.2505882352942,395.80023529411784,992.2214117647057,580.0782352941176,65.67141176470588,206.80341176470586,52.98141176470589,76.818,40.76647058823529,23.85317647058823,22.441764705882353,0.5473270464230916,0.8407395309667404,0.15926046903325963
PO1000004841,7012.8871764706,34153.26176470587,32551.579764705886,477.8639999999999,361.1604705882353,237.8495294117647,302.21541176470583,501.12635294117644,479.2941176470588,154.4385882352941,191.73670588235294,768.3656470588232,710.5111764705882,138.19764705882352,90.12423529411764,470.24470588235295,1065.4408235294115,124.23494117647061,292.30129411764705,78.64870588235294,343.3447058823529,225.78811764705878,0.2053357955906205,0.2154392268259231,0.7845607731740769
PO1000004842,15974.563411764708,26968.58329411765,22762.260000000002,469.1343529411765,223.84023529411763,835.3196470588234,1626.462705882353,576.5230588235294,1698.950470588235,2227.5624705882356,1638.1245882352932,900.0638823529413,148.27023529411764,26.55,1558.2268235294123,449.04458823529404,365.9114117647059,413.92199999999997,972.2717647058821,1182.0585882352943,367.4622352941177,294.8643529411765,0.5923397324044477,0.7018004104937167,0.29819958950628334
PO1000004843,20971.828235294128,55112.11976470588,53579.71976470588,332.2560000000001,520.8423529411764,80.25423529411765,287.09999999999997,314.7727058823529,2760.0483529411763,1958.451882352941,552.3515294117645,804.1641176470588,325.6923529411765,892.1414117647058,1189.0154117647057,1310.3039999999999,2093.4631764705887,1171.9496470588233,2089.1685882352945,901.9662352941175,1469.5997647058825,1918.2864705882353,0.3805302413485574,0.391413548398376,0.608586451601624
PO1000004844,20102.96223529412,68462.31635294117,64632.83047058822,456.666705882353,388.73082352941174,258.24141176470584,668.012117647059,463.6687058823529,421.3581176470588,653.304705882353,1156.657764705882,2115.007058823529,1916.588823529412,1563.9691764705883,1257.934588235294,784.6768235294118,1148.350588235294,1315.6821176470587,1712.0548235294116,1617.4425882352944,1125.0141176470588,1079.6011764705881,0.29363543780286494,0.3110332951369376,0.6889667048630623
PO1000004850,17828.727882352945,121402.38670588234,120311.21329411764,346.5321176470588,583.6489411764707,77.50270588235294,531.6419999999999,468.5968235294118,1957.9895294117644,446.33647058823533,349.8158823529411,1625.282117647059,1147.5691764705882,646.062,1199.6347058823528,537.2382352941177,1244.7342352941178,1933.8568235294117,2815.627764705883,856.8197647058824,613.9274117647059,445.9111764705881,0.1468564858246653,0.14818841398239513,0.8518115860176049
PO1000004852,51565.10823529408,170165.50058823565,157505.41976470625,3642.285529411764,1804.134,547.234588235294,2801.257764705882,1157.7455294117647,7597.805294117648,2855.000823529412,6270.503294117648,3958.1721176470587,1498.4587058823531,794.217882352941,4052.217882352941,1027.2024705882352,1935.1464705882354,1603.0775294117645,3191.3428235294114,2595.931764705882,2469.88094117647,1763.492823529412,0.30302915724422125,0.3273862468499561,0.6726137531500439
PO1000004853,8663.595176470584,32751.665647058824,24001.361294117647,452.0781176470589,470.14658823529413,54.81247058823529,348.73694117647057,97.52188235294116,401.30788235294114,113.80694117647059,443.3802352941176,1800.5654117647057,546.3183529411764,209.8976470588235,272.33682352941173,171.8290588235294,574.614705882353,477.317294117647,583.7170588235293,698.9664705882352,474.31341176470585,471.9278823529412,0.26452380376106444,0.36096265833862906,0.6390373416613709
PO1000004855,23924.442352941172,182355.29788235284,174326.1059999999,941.856,718.6083529411767,597.6116470588236,722.9241176470589,1250.8132941176477,2553.231529411765,999.6395294117648,1654.2342352941175,679.9171764705882,397.2691764705882,2128.7879999999996,1169.752941176471,1029.3476470588232,1625.1910588235291,995.8676470588234,1816.024588235294,1890.6402352941177,1631.0692941176471,1121.655882352941,0.1311968592674292,0.13723958448851709,0.862760415511483
